1,1,mikeleil,Start,07:00:00
2,1,mikeleil,Success,07:11:00
3,2,deltajed,Start,14:01:00
4,2,deltajed,Success,14:28:00
5,3,deltajed,Start,18:00:00
6,3,deltajed,Failure,18:14:00
7,4,astraeus,Start,12:17:00
8,4,astraeus,Success,12:49:00
9,5,katharyn,Start,13:02:00
10,5,katharyn,Success,13:13:00
11,6,astraeus,Start,09:00:00
12,6,astraeus,Success,09:29:00
13,7,gellerti,Start,15:45:00
14,7,gellerti,Success,15:58:00
15,8,katharyn,Start,17:08:00
16,8,katharyn,Success,17:38:00
17,9,mikeleil,Start,14:31:00
18,9,mikeleil,Success,14:53:00
19,10,mikeleil,Start,17:12:00
20,10,mikeleil,Success,17:39:00
21,11,gellerti,Start,21:17:00
22,11,gellerti,Success,21:29:00
23,12,astraeus,Start,20:17:00
24,12,astraeus,Success,20:34:00
25,13,astraeus,Start,11:02:00
26,13,astraeus,Success,11:13:00
27,14,deltajed,Start,18:12:00
28,14,deltajed,Success,18:32:00
29,15,mikeleil,Start,15:00:00
30,15,mikeleil,Success,15:21:00
31,16,katharyn,Start,07:00:00
32,16,katharyn,Success,07:11:00
33,17,gellerti,Start,16:17:00
34,17,gellerti,Success,16:49:00
35,18,astraeus,Start,13:15:00
36,18,astraeus,Success,13:48:00
37,19,mikeleil,Start,10:15:00
38,19,mikeleil,Success,10:36:00
39,20,astraeus,Start,18:00:00
40,20,astraeus,Failure,18:14:00
41,21,deltajed,Start,13:02:00
42,21,deltajed,Success,13:13:00
43,22,gellerti,Start,12:47:00
44,22,gellerti,Success,13:16:00
45,23,katharyn,Start,15:42:00
46,23,katharyn,Success,16:22:00
47,24,astraeus,Start,18:21:00
48,24,astraeus,Success,19:11:00
49,25,mikeleil,Start,09:17:00
50,25,mikeleil,Success,10:09:00
51,26,gellerti,Start,22:08:00
52,26,gellerti,Success,23:03:00
